Fecha;Descripción;Origen;Débitos;Créditos;Grupo de Conceptos;Concepto;Numero de Terminal;Observaciones Cliente;Numero de Comprobante;Leyenda Adicional1;Leyenda Adicional2;Leyenda Adicional3;Leyenda Adicional4;Tipo de Movimiento;Saldo
04/05/2026;CREDITO TRANSFERENCIA COELSA;COEL;;1250000,00;000907 - Transferencias;917151 - TRANSFERENCIA DE TERCEROS;;INNOVATECH FICTICIA S.A.;0;INNOVATECH FICTICIA S.A.;30719990019;;FACTURA;Imputado;+26250000,00
05/05/2026;TRF INMED PROVEED;ITBK;480000,00;;000083 - Pagos;917193 - TRANSFERENCIAS CASH PROVEEDORES;;DISTRIBUIDORA EJEMPLO S.R.L.;4136191;DISTRIBUIDORA EJEMPLO S.R.L.;30719990027;;PAGO;Imputado;+25770000,00
05/05/2026;SERVICIO ACREDITAMIENTO DE HABERES;GAOF;2400000,00;;000083 - Pagos;917123 - SERVICIO PAGO HABERES;;SUELDOS FICTICIOS EMPLEADOS;0;PAGO HABERES FICTICIOS;;;;Imputado;+23370000,00
07/05/2026;TRANSFERENCIA DE TERCEROS;BANE;;320000,00;000907 - Transferencias;917248 - TRANSFERENCIA DE TERCEROS;;PEREZ FICTICIO JUAN CARLOS;0;PEREZ FICTICIO JUAN CARLOS;20229990034;;COBRANZA;Imputado;+23690000,00
08/05/2026;TRF INMED PROVEED;ITBK;650000,00;;000083 - Pagos;917193 - TRANSFERENCIAS CASH PROVEEDORES;;KAPOW MARKETING FICTICIO S.A.;4136192;KAPOW MARKETING FICTICIO S.A.;30719990045;;PAGO;Imputado;+23040000,00
11/05/2026;CREDITO TRANSFERENCIA COELSA;COEL;;890000,00;000907 - Transferencias;917151 - TRANSFERENCIA DE TERCEROS;;NEXUS DEMO S.R.L.;0;NEXUS DEMO S.R.L.;30719990053;;FACTURA;Imputado;+23930000,00
12/05/2026;SERVICIO PAGO A PROVEEDORES;GAOF;540000,00;;000909 - Pago Proveedores;917123 - SERVICIO PAGO A PROVEEDORES;;ALIMENTOS DE MUESTRA S.A.;0;ALIMENTOS DE MUESTRA S.A.;30719990061;;PAGO;Imputado;+23390000,00
15/05/2026;TRANSFERENCIA DE TERCEROS;BANE;;600000,00;000907 - Transferencias;917248 - TRANSFERENCIA DE TERCEROS;;DEMO LOGISTICA S.R.L.;0;DEMO LOGISTICA S.R.L.;30719990078;;COBRANZA ACUMULADA FACTURAS;Imputado;+23990000,00
15/05/2026;TRF INMED PROVEED;ITBK;400000,00;;000083 - Pagos;917193 - TRANSFERENCIAS CASH PROVEEDORES;;ACME INGENIERIA FICTICIA S.A.;4136193;ACME INGENIERIA FICTICIA S.A.;30719990086;;TRAMO 1 OP-458;Imputado;+23590000,00
21/05/2026;TRF INMED PROVEED;ITBK;300000,00;;000083 - Pagos;917193 - TRANSFERENCIAS CASH PROVEEDORES;;ACME INGENIERIA FICTICIA S.A.;4136194;ACME INGENIERIA FICTICIA S.A.;30719990086;;TRAMO 2 OP-458;Imputado;+23290000,00
22/05/2026;DEB. AUTOM. DE SERV.;AUTO;350000,00;;000083 - Pagos;907213 - DEB. AUTOM. DE SERV.;;SERVICIOS IMAGINARIOS S.A.;3436680;SERVICIOS IMAGINARIOS S.A.;30719990094;;DEB DIRECTO;Imputado;+22940000,00
29/05/2026;TRANSFERENCIA DE TERCEROS;BANE;;220000,00;000907 - Transferencias;917248 - TRANSFERENCIA DE TERCEROS;;CLIENTE INVENTADO NORTE S.R.L.;0;CLIENTE INVENTADO NORTE S.R.L.;30719990108;;ANTICIPO;Imputado;+23160000,00
31/05/2026;COMISION SERVICIO DE CUENTA;0001;45000,00;;000808 - Comisiones;908101 - COMISION MANTENIMIENTO;;;0;MANTENIMIENTO CUENTA;;;;Imputado;+23115000,00
31/05/2026;IVA;0001;9450,00;;000901 - Impuestos;907101 - IVA 21%;;;0;IVA BASICO 21%;;;;Imputado;+23105550,00
31/05/2026;PERCEP. IVA;0001;1350,00;;000901 - Impuestos;907102 - PERCEPCION IVA;;;0;PERCEPCION IVA RG 2408;;;;Imputado;+23104200,00
31/05/2026;IMP. DEB. LEY 25413 GRAL.;0001;18000,00;;000901 - Impuestos;907103 - IMPUESTO DEBITOS;;;0;LEY 25413 TASA GENERAL;;;;Imputado;+23086200,00
31/05/2026;IMP. CRE. LEY 25413;0001;12000,00;;000901 - Impuestos;907104 - IMPUESTO CREDITOS;;;0;LEY 25413 TASA GENERAL;;;;Imputado;+23074200,00
31/05/2026;ING. BRUTOS S/ CRED;0001;25000,00;;000901 - Impuestos;907173 - ING. BRUTOS S/ CRED;;;0;REG.RECAU.SIRCREB;;;;Imputado;+23049200,00
31/05/2026;IMPUESTO DE SELLOS;0001;3500,00;;000901 - Impuestos;907105 - IMPUESTO DE SELLOS;;;0;PROVINCIA BUENOS AIRES;;;;Imputado;+23045700,00
31/05/2026;INTERESES SOBRE SALDOS DEUDORES;0001;5200,00;;000814 - Intereses;908140 - INTERESES ADELANTO;;;0;INTERES SALDO DEUDOR;;;;Imputado;+23040500,00
