FECHA;DOCUMENTO;ORGANIZACION;CENTRODECOSTO;CUENTA;DESCRIPCION;DEBEMONPRINCIPAL;HABERMONPRINCIPAL;SALDOMONPRINCIPAL
30-04-2026;Saldo Inicial;;;Galicia Cta Cte;;;;25000000.0000
04-05-2026;Cobranza N° A-0001-000101;INNOVATECH FICTICIA S.A.;;Galicia Cta Cte;Cobranza Auto;1250000.0000;;26250000.0000
05-05-2026;Pago N° OP-000501;DISTRIBUIDORA EJEMPLO S.R.L.;;Galicia Cta Cte;Pago a Proveedores;;480000.0000;25770000.0000
05-05-2026;Pago Sueldos Mes 04/2026;SUELDOS FICTICIOS EMPLEADOS;;Galicia Cta Cte;Servicio Acreditamiento de Haberes;;2400000.0000;23370000.0000
07-05-2026;Cobranza N° A-0001-000102;PEREZ FICTICIO JUAN CARLOS;;Galicia Cta Cte;Cobranza Auto;320000.0000;;23690000.0000
08-05-2026;Pago N° OP-000502;KAPOW MARKETING FICTICIO S.A.;;Galicia Cta Cte;Pago a Proveedores;;650000.0000;23040000.0000
11-05-2026;Cobranza N° A-0001-000103;NEXUS DEMO S.R.L.;;Galicia Cta Cte;Cobranza Auto;890000.0000;;23930000.0000
12-05-2026;Pago N° OP-000503;ALIMENTOS DE MUESTRA S.A.;;Galicia Cta Cte;Pago a Proveedores;;540000.0000;23390000.0000
15-05-2026;Cobranza N° A-0001-000104;DEMO LOGISTICA S.R.L.;;Galicia Cta Cte;Cobranza Factura A-104;250000.0000;;23640000.0000
15-05-2026;Cobranza N° A-0001-000105;DEMO LOGISTICA S.R.L.;;Galicia Cta Cte;Cobranza Factura A-105;200000.0000;;23840000.0000
15-05-2026;Cobranza N° A-0001-000106;DEMO LOGISTICA S.R.L.;;Galicia Cta Cte;Cobranza Factura A-106;150000.0000;;23990000.0000
18-05-2026;Pago N° OP-000504;ACME INGENIERIA FICTICIA S.A.;;Galicia Cta Cte;OP-000504 Prov Equipos;;700000.0000;23290000.0000
15-05-2026;Pago N° OP-000505;SERVICIOS IMAGINARIOS S.A.;;Galicia Cta Cte;Abono Servidor Cloud;;200000.0000;23090000.0000
23-05-2026;Pago N° OP-000506;SERVICIOS IMAGINARIOS S.A.;;Galicia Cta Cte;Abono Licencias Software;;150000.0000;22940000.0000
29-05-2026;Pago N° OP-000507;PROVEEDOR VIRTUAL BETA S.A.;;Galicia Cta Cte;Pago a Proveedores Cheque;;150000.0000;22790000.0000
31-05-2026;Pago N° OP-000508;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;;Galicia Cta Cte;Pago N° OP-000508 Liquidación Impuestos y Comisiones Galicia;;119500.0000;22670500.0000
